content,appear_time,mode,font_size,color,send_time,user_hash,row_id
刘禅:OK了烙铁们,207.517,1,25,16777215,2025-04-18 18:38:37,1ff4bef3,1827722641448962048
小兵：老匹夫，休走！,38.389,5,25,16777215,2025-04-18 19:32:12,9b855750,1827749612308580608
吕布：单杀（血条在厚一刀带走）,156.58,5,25,16777215,2025-04-18 18:38:06,86f0c8b1,1827722382442282496
不管你是谁，从铁根身上下来,62.551,1,25,16777215,2025-04-18 18:46:25,caf81e23,1827726567334502400
项羽:我要不削0.25秒控制你不就炸了吗？,33.48,5,25,15138834,2025-04-18 18:36:19,277a2044,1827721484669010176
苍穹买完就验货啊,115.715,5,25,16777215,2025-04-18 19:55:38,a5923423,1827761405835718144
老头ID：神秘奇男子,160.079,5,25,16707842,2025-04-18 18:37:31,1825ec35,1827722085947553792
老头神力,199.741,1,25,16777215,2025-04-18 22:57:01,460de96f,1827852701564907776
其实现场懵逼的一匹,33.891,5,25,15138834,2025-04-18 18:36:02,83b1ee2c,1827721344461570304
血包：丹砂！,48.259,5,25,14811775,2025-04-18 18:35:58,f0ffa5d0,1827721305269482496
铁钟会：我们该算算旧账了,131.001,5,25,15138834,2025-04-18 18:41:30,432fec80,1827724096159986688
雀食挺不戳的,226.078,1,25,16777215,2025-04-18 18:41:17,8fd56a0e,1827723983240668160
《有些》,165.292,1,25,16777215,2025-04-18 18:37:36,31832e2f,1827722130104867584
谈笑间被吕布闪大打出复活甲了。,215.378,5,25,15138834,2025-04-18 18:42:30,fcfdac41,1827724591473878528
我的代码在你之上！,71.531,5,25,16707842,2025-04-18 18:35:59,6ae54114,1827721315579202048
别忘了铁根之前是老夫子的,113.571,5,25,15138834,2025-04-18 18:40:10,77807e09,1827723417706249728
细节想吃血包没吃到,46.785,5,25,16777215,2025-04-18 18:36:53,aef15734,1827721769621607680
苍穹庆祝,112.966,5,25,16707842,2025-04-18 18:38:48,dc2a6e81,1827722728892075008
他还想吃个血包 ,47.133,5,25,16777215,2025-04-18 18:35:24,2d037bb7,1827721024637742848
《积分夺宝》,5.431,5,25,16777215,2025-04-18 18:45:20,c9947b03,1827726019223225344
熬隐:我飞起来你不炸了,183.951,1,25,16777215,2025-04-18 18:39:40,e7a153da,1827723169906569984
都这时候了，铁根还不让铁柱出场（大哭）,208.265,5,25,16777215,2025-04-18 19:25:09,50def5e0,1827746057787329536
甚至id是那个男人,73.096,5,25,16777215,2025-04-18 18:47:44,9d471433,1827727227106776576
《守感》,15.438,1,25,16777215,2025-04-18 18:36:05,7517345c,1827721366733422080
我们该，算算旧账了,129.928,5,25,16707842,2025-04-18 18:40:50,e30d96f,1827723753795368192
你甚至不愿意用铁柱,212.939,1,25,16777215,2025-04-18 18:38:40,aba859b9,1827722663712789760
幽默苍穹,112.074,1,25,16777215,2025-04-18 18:36:43,46ff3785,1827721683562503424
感觉像逐花归海强普,24.672,5,25,16777215,2025-04-18 18:36:13,126d9371,1827721431040574976
队友：老夫子复活时间46秒,159.805,1,25,16777215,2025-04-18 18:39:33,5b663853,1827723110070850304
血条再厚，一刀带走！,159.086,5,25,14811775,2025-04-18 18:39:00,e3ad4550,1827722832356950528
孙膑：这股力量不属于你,105.047,5,25,15138834,2025-04-18 18:38:38,83b1ee2c,1827722648445724160
不对啊，不应该是上头闪现进去a不到项羽被反杀吗,26.118,5,25,16777215,2025-04-18 22:25:46,b37f8713,1827836972505465344
司马懿:我的代码在你之下！,72.459,1,25,16777215,2025-04-18 19:42:18,1083c7bf,1827754692827655680
经典苍穹当名刀,113.483,1,25,16777215,2025-04-18 18:37:54,31b32e17,1827722282458650624
秒赤,100.321,1,25,16777215,2025-04-18 18:36:59,2de9cb6d,1827721818611117056
神人狂铁技能全打反伤上了,131.712,1,25,16777215,2025-04-18 18:38:58,677ae5,1827722815462825472
青铜之拉,81.628,5,25,16777215,2025-04-18 19:05:02,e667d356,1827735937988941824
《这单杀有东西！》,176.3,5,25,15138834,2025-04-18 18:54:14,2079bc6b,1827730497473338880
时机已到，今日起兵！,130.598,5,25,11890,2025-04-18 18:38:29,8281b520,1827722577444029184
硬的跟钢筋一样啊！,114.871,5,25,15772458,2025-04-19 00:58:32,7939ce00,1827913861957945856
原力推动,88.164,1,25,16777215,2025-04-18 19:22:10,c62983cc,1827744563440200192
依稀当年泪不干~,87.424,5,25,41194,2025-04-18 18:52:57,af7319c3,1827729857497698048
怎么陷入水火都你别问,162.692,1,25,16777215,2025-04-18 18:38:12,f8c95310,1827722427867175424
正常不应该空闪大吗,64.972,5,25,16707842,2025-04-18 18:37:59,277a2044,1827722320031783680
女魔射神力,178.368,5,25,41194,2025-04-18 22:12:00,8b22f7f1,1827830038583238912
振刀！,31.561,1,25,16777215,2025-04-18 21:36:00,676476bd,1827811919173103104
这个时间点送塔确实比回城快,47.945,1,25,16777215,2025-04-18 18:43:35,d5e9a9f9,1827725137454735872
我为什么不用圣诞老人呢？还免费,221.26,1,25,16777215,2025-04-18 18:41:54,ad5ef760,1827724290825976320
靠着防御塔打伤害对吗？,128.019,5,25,16707842,2025-04-18 18:41:18,5daa0134,1827723992560101120
铁根之前玩的可是老夫子,135.131,5,25,15138834,2025-04-18 18:40:45,77807e09,1827723715971546112
破军神力,159.505,5,25,16707842,2025-04-18 18:40:14,dc2a6e81,1827723453139066368
原来这就是，一技能过街老鼠，大招小丑降临,69.721,5,25,16777215,2025-04-18 18:39:20,fce5200,1827722997948701184
没吃到血包 血亏,50.741,1,25,16777215,2025-04-18 18:36:03,b075f012,1827721349494444032
神秘后撤步男,72.11,1,25,16777215,2025-04-18 21:15:14,c61d103c,1827801468258851584
赖神这句话骗了德华一辈子,124.849,1,25,16777215,2025-04-18 18:48:56,34e1e992,1827727837176798976
《剩 蛋 老 人》,222.356,1,25,16777215,2025-04-18 18:39:16,71d8cc61,1827722970845064704
铁柱铁柱限时返场,206.982,5,25,41194,2025-04-18 18:39:16,1ac3d98e,1827722964083874560
苍穹当名刀用,112.671,5,25,16707842,2025-04-18 18:38:30,25d0e942,1827722578383408384
强制决斗,54.222,5,25,16777215,2025-04-19 01:45:17,ae61f38c,1827937389806008832
我无处不在吗？有点意思,73.227,5,25,6830715,2025-04-19 00:52:28,970b68a,1827910805158088704
小乔神力，直接给射手秒了。,100.739,1,25,16777215,2025-04-18 18:44:17,32bfb0e1,1827725490657081088
攒4个权标记了,123.757,5,25,15138834,2025-04-18 18:40:36,432fec80,1827723637907047680
队友：你猜我为什么陷入水火,163.547,5,25,16777215,2025-04-18 18:37:53,1ecda4e,1827722274221480448
小丑冲刺,72.399,1,25,16777215,2025-04-18 18:37:46,b64d103c,1827722211818482432
那么队友为什么陷入水火呢？,167.011,5,25,16777215,2025-04-18 18:37:14,240da7e3,1827721948131208448
谈笑间空了个一,81.887,1,25,16777215,2025-04-18 18:36:27,8b9b36f1,1827721548942085120
《成名菜》,3.931,5,25,41194,2025-04-18 19:47:49,da9a2b43,1827757473877138688
幽默问号第一个和唯一一个分不清是吗,143.434,1,25,16777215,2025-04-18 19:03:35,5ae1124c,1827735207148013056
对胃了,175.065,5,25,15138834,2025-04-18 18:53:57,1499b18b,1827730360143190016
牢布：算了…走不了把这个残血老头杀了吧,154.204,1,25,16777215,2025-04-18 18:41:17,6ac8eb6e,1827723980908726784
宫本：告诉你个秘密，躲在塔外的我是无敌的,148.299,5,25,41194,2025-04-19 09:56:42,3b702765,1828184730102385152
狂铁一二全打老夫子免伤上了，这狂铁诗人？,132.598,1,25,16777215,2025-04-18 21:06:46,2d76e5,1827797209479996416
我上次送塔直接就被糸统警告了,47.807,1,25,16777215,2025-04-18 20:24:05,19f678c1,1827775723084662784
这才是大厨的感觉嘛，前面是怎么回事,178.585,5,25,41194,2025-04-18 20:03:09,94c8d1bf,1827765186934253056
夏侯惇：真的吗,201.249,1,25,16777215,2025-04-18 19:13:59,55c2ea17,1827740445313172480
一时竟然分不清谁是厨师长,71.251,1,25,16777215,2025-04-18 18:51:51,1499b18b,1827729304126560256
翻译一下，想去吃雪豹不小心跑到小兵前面了,44.511,1,25,16777215,2025-04-18 18:49:53,68dd90bb,1827728315227131648
赖神：燃尽了,121.636,1,25,16707842,2025-04-18 18:43:35,fe1bcceb,1827725144316694016
熬隐:真的吗？,184.609,1,25,16777215,2025-04-18 18:43:31,1cfe97f9,1827725109679463680
小龙人：你好,185.729,1,25,16777215,2025-04-18 18:42:28,70982376,1827724576324009984
小龙人：果真吗,187.308,1,25,16777215,2025-04-18 18:42:02,726223d,1827724363353936384
呵呵哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈和,159.266,1,25,16777215,2025-04-18 18:38:37,891314ee,1827722637372686336
你先别问逆风怎么来的,161.499,5,25,16777215,2025-04-18 18:38:06,e5084bf8,1827722384657570816
你猜队友是怎么陷入水火的 ,163.975,5,25,16777215,2025-04-18 18:37:07,2d037bb7,1827721881861107456
紧张了点下苍穹,113.129,1,25,16777215,2025-04-18 18:36:17,f874e4a,1827721470165092608
要是要是吃了血包再死就更完美了,47.77,1,25,16777215,2025-04-18 18:35:38,8b9b36f1,1827721141221997824
幽默老鼠,67.112,1,25,16777215,2025-04-18 18:35:32,7ad79dfe,1827721092023279872
小兵得了MVP,152.717,1,25,16777215,2025-04-18 22:56:10,3038a815,1827852273662408192
那我为什么不用圣诞老人（doge,225.271,5,25,8700107,2025-04-18 21:57:38,52ec0ce3,1827822807510907136
盲猜厨师长极限生存甚至反杀,37.556,5,25,16707842,2025-04-18 21:45:04,a7f45bc6,1827816482734975488
是“聊胜于无”哦,9.497,5,25,16777215,2025-04-18 20:25:57,c214bb8f,1827776660125622272
盲猜有人说巨人好评（）,98.861,1,25,16777215,2025-04-18 20:10:46,5fb9d45f,1827769025024408576
小龙人拖到捆结束不就好了,200.299,1,25,16777215,2025-04-18 19:43:44,48e23c3c,1827755418064203008
这公孙离出了不详吧，怎么这么硬,195.983,1,25,16777215,2025-04-18 19:09:18,b6a65903,1827738085648710656
每日反杀弟,76.676,5,25,16777215,2025-04-18 19:04:58,a912a2dd,1827735899912584448
巨人狂喜,99.029,1,25,16777215,2025-04-18 18:57:31,7ad7a037,1827732157175854848
英雄强度请勿上升至个人,130.111,1,25,16777215,2025-04-18 18:56:38,b43295c2,1827731707856685568
能,172.218,5,25,15138834,2025-04-18 18:48:54,caf81e23,1827727817689990912
破军神力,161.172,1,25,16777215,2025-04-18 18:41:59,6fcec37a,1827724339186500864
2488,160.775,1,25,16777215,2025-04-18 18:41:33,992fc2b6,1827724116820953856
千里送人头，礼轻情意重啊。,157.776,1,25,16777215,2025-04-18 18:40:18,80b6c27,1827723489411922688
吕布：呦呵,160.046,5,25,15138834,2025-04-18 18:39:39,83b1ee2c,1827723161258054656
至于为什么陷入水火，你别问,166.571,5,25,16707842,2025-04-18 18:39:38,25d0e942,1827723152332278016
巨人好评！！！,98.947,1,25,16777215,2025-04-18 18:38:30,68a81b71,1827722584180623616
不管你是谁从铁根身上出去,108.854,1,25,16777215,2025-04-18 18:37:18,95e97748,1827721976308239104
？？？剧本不是空大被反杀吗？？？,64.711,1,25,16777215,2025-04-18 18:37:18,3c36b58a,1827721976207544064
细节最后苍穹庆祝,115.191,5,25,16707842,2025-04-18 18:36:22,1825ec35,1827721506353332992
假设这波是弱化加苍穹的老夫子（Doge）,110.528,5,25,9487136,2025-04-19 06:57:20,22e48666,1828094451584113408
此时一阵强劲的音乐响起,97.245,5,25,41194,2025-04-19 02:39:40,901cee71,1827964761145534720
小兵致敬50块,152.94,1,25,16777215,2025-04-19 01:50:02,acae7ffd,1827939777271003648
这波故意送塔没被警告，不能理解,48.422,1,25,15138834,2025-04-19 00:32:29,66e6b9d4,1827900745958654208
我们扁鹊玩家依然没有皮肤买,9.18,5,25,16707842,2025-04-19 00:30:13,1774e724,1827899604579039744
想你了铁柱,211.426,1,25,16777215,2025-04-18 23:46:16,484ff82c,1827877487687083776
筷子砸塑料袋没绷住,19.401,1,25,16777215,2025-04-18 23:25:19,c5768598,1827866945219803392
这里老鼠懿一技能出bug了，空A由本体判定了,65.723,1,25,16777215,2025-04-18 22:54:06,1bd82c78,1827851234095447296
好久没有看到根er玩老头了，想当年根还是玩老头孙策达摩起家的,222.228,1,25,16777215,2025-04-18 21:57:00,bbe32faf,1827822493021613824
小龙人一个大加落地时间正好能把老头大招时间扛过去,192.971,1,25,16777215,2025-04-18 21:35:57,f91ca50b,1827811895214765568
赖神附体,113.418,1,25,16777215,2025-04-18 21:15:00,7c277486,1827801349669721344
钟馗试图拉老夫子躲劈,159.263,1,25,16777215,2025-04-18 19:49:17,159a156c,1827758208317035008
纯英雄强度，请勿上升至选手个人,110.39,1,25,16707842,2025-04-18 19:04:41,11d9b9d8,1827735759134885376
哈哈哈哈啊这 这个配音,211.73,1,25,16777215,2025-04-18 18:54:25,425f734c,1827730595066265088
一时竟然分不清谁是厨师长,76.531,5,25,16777215,2025-04-18 18:51:59,1499b18b,1827729368534457088
不是钻石夺宝吗,5.119,5,25,16646914,2025-04-18 18:46:29,405f40cc,1827726600729900544
不是有玉城大王子吗为什么射手还一个人带线,203.939,1,25,16777215,2025-04-18 18:40:29,ef0b906,1827723577786055936
我习惯功夫老勺了，其他哪个皮肤我都不习惯,26.32,5,25,15138834,2025-04-18 18:39:35,319887d3,1827723123752278272
高原三傻,217.531,1,25,16777215,2025-04-18 18:39:06,f18253ce,1827722880860483072
为什么陷入水火，你先别管,165.57,1,25,16777215,2025-04-18 18:38:58,e6110d0d,1827722817785855232
这…这不对吧,98.637,1,25,16707842,2025-04-18 18:38:57,6ac8eb6e,1827722807283584768
快跑！厨师长下毒了！！！,0.291,5,25,16777215,2025-04-18 18:38:53,bf096807,1827722776757796352
队友怎么陷入水火的你别问奥,166.552,1,25,16777215,2025-04-18 18:38:24,b075f012,1827722530912376064
确实挺不错的～,226.511,5,25,16777215,2025-04-18 18:38:03,f41cf879,1827722356160889088
吕布：单杀,160.695,5,25,15138834,2025-04-18 18:37:33,3a0f1262,1827722107094576384
反杀项羽不给看了,116.544,5,25,16777215,2025-04-18 18:37:10,f27d051e,1827721912630013440
666磕到甲沟炎了,73.52,1,25,16777215,2025-04-18 18:36:38,23425dfb,1827721639119538176
所以为啥要直接送？不能回城？,46.368,1,25,16777215,2025-04-18 18:36:16,6cac7d75,1827721460836995328
老头当年最猛的时候能干到85%的减伤,181.291,5,25,16777215,2025-04-19 09:17:01,128c894f,1828164753798354688
他自杀了,35.601,5,25,16777215,2025-04-19 07:05:50,b7d58dfc,1828098725495907584
边路有个零杠八的老头谁去处理一下,92.181,1,25,16777215,2025-04-19 00:36:44,c1ad3119,1827902886521376512
司马懿：策划！,72.595,1,25,16777215,2025-04-19 00:24:46,38e4f03,1827896862007729664
不提醒破坏游戏体验我不认可,48.201,1,25,16777215,2025-04-19 00:09:51,e228c02c,1827889353297413120
打开商店企图换名刀但手速不够,216.044,1,25,15138834,2025-04-18 23:08:37,d7dee366,1827858538626609152
要不是知道是铁根，我还以为在看夫赖视频呢,112.342,1,25,16777215,2025-04-18 23:01:24,d09a99ce,1827854904992083456
项羽二级为什么不开大招反杀,29.741,1,25,16777215,2025-04-18 22:43:13,3523ff7b,1827845749808395776
暗信不能无兵线拆塔，但是牢头能,142.059,1,25,16707842,2025-04-18 22:41:42,bc1d67ac,1827844986402907648
怀念铁柱的一天,211.39,1,25,16777215,2025-04-18 22:29:31,a72ee05d,1827838859758176768
爷青回，铁杆儿又玩上老夫子了,4.98,5,25,15138834,2025-04-18 22:10:41,3fa634b0,1827829374708262144
这波根细节拉满了,91.072,1,25,16777215,2025-04-18 22:07:19,653089da,1827827682558265088
小丑降临,68.036,1,25,6830715,2025-04-18 22:04:19,24a5a43,1827826171049031168
感觉真的可以给后撤步加个霸体，然后飞行途中没有霸体,76.631,1,25,16707842,2025-04-18 21:59:02,26142c07,1827823512824444928
什么话？,204.262,5,25,16707842,2025-04-18 21:48:57,a7f45bc6,1827818436307562240
老夫子大招结束了，小龙人大招还没结束，怎么飞不走了？,193.411,1,25,16777215,2025-04-18 21:47:02,65d7fb3e,1827817471785236224
公孙离602物抗，出肉了,196.197,1,25,16777215,2025-04-18 21:40:59,db7a975b,1827814427408905984
身陷敌阵，战而弥勇,96.339,5,25,15138834,2025-04-18 20:53:00,7fa9c4cc,1827790281093960960
正好技能结束,159.781,5,25,16777215,2025-04-18 20:38:29,f66bc187,1827782974197395200
公孙离：在我无限位移面前 你能摸得到我？,169.986,5,25,16707842,2025-04-18 20:26:10,58b9b8d8,1827776776232253440
所以是怎么0杠几的,123.091,5,25,41194,2025-04-18 20:00:46,94c8d1bf,1827763986230884096
谁家小铁根,210.129,5,25,16777215,2025-04-18 19:35:36,272493,1827751325539631872
铁根你变了  你说项羽克制老头的,31.0,1,25,16777215,2025-04-18 19:22:47,833629af,1827744867628605696
你是否在找鲁班,37.86,1,25,16707842,2025-04-18 19:06:43,f04c064e,1827736787293019904
你在这种情况下，你有那么大的心脏，说不点苍穹，免一下伤，幽默幽默人,114.551,1,25,16777215,2025-04-18 19:04:32,cc758389,1827735681187749376
好多人啊,18.616,1,25,15138834,2025-04-18 18:57:15,e46dab54,1827732020458683136
细节苍穹助兴,113.433,1,25,16777215,2025-04-18 18:55:03,42dda79,1827730907885886720
队友陷入水火：指人头差全在铁根的负战绩上,164.42,5,25,15138834,2025-04-18 18:50:36,f2ebf155,1827728672531346944
赖不群：你也是舒服流老夫子？,127.032,5,25,41194,2025-04-18 18:50:16,18efd2c6,1827728506336500992
问题来了，水火哪儿来的？[doge],164.758,5,25,15138834,2025-04-18 18:49:36,7a481c1a,1827728172243469568
苍穹刚买出来啊,113.22,1,25,16777215,2025-04-18 18:49:15,3a541d78,1827727993851272960
好眼熟的蓝色猫头盾,21.783,1,25,16777215,2025-04-18 18:49:00,725b3309,1827727867065238528
阵容强度和人与英雄无关。,106.293,1,25,16777215,2025-04-18 18:48:57,47a7394b,1827727838997086464
《牢话》,204.908,5,25,15138834,2025-04-18 18:48:44,99c360fa,1827727735314456832
祖师爷单杀宗门弟子,93.003,1,25,15138834,2025-04-18 18:44:36,cc2f4ece,1827725656088792576
2杠7：队友陷入水火,163.676,1,25,16777215,2025-04-18 18:43:22,f2ebf155,1827725028998134528
羡慕小兵,147.874,5,25,15138834,2025-04-18 18:41:46,f6af4c47,1827724223364960768
怎么陷入水火你别管,163.858,1,25,16777215,2025-04-18 18:39:53,166c20ef,1827723277892715264
铁根玩的项羽 ,35.012,1,25,16777215,2025-04-18 18:39:27,fe1bcceb,1827723058967318272
狂炫两口,162.491,1,25,16777215,2025-04-18 18:39:02,3c36b58a,1827722854561663744
苍穹壮胆！,116.68,5,25,15138834,2025-04-18 18:38:51,c3b862a9,1827722760592343040
他简直像个战神！,103.271,1,25,16777215,2025-04-18 18:38:27,350d9956,1827722559609967616
错啦，是高配版圣诞老人,30.372,5,25,16777215,2025-04-18 18:38:24,e55eb77,1827722528429339136
怎么陷入水火的你是一点不说（doge）,163.83,5,25,16777215,2025-04-18 18:38:21,a63b71cc,1827722506853920256
巨！,98.635,5,25,16777215,2025-04-18 18:38:00,5f91a512,1827722331607547136
这就是铁根吗？太夸张了，瞬间1万人。,115.202,1,25,16777215,2025-04-18 18:37:52,6b86dc38,1827722259474007296
2-7你猜怎么陷入的水火（doge）,163.042,1,25,16777215,2025-04-18 18:37:29,8d5fa06c,1827722067945021952
666磕到甲沟炎了,67.261,1,25,15138834,2025-04-18 18:37:16,c866f568,1827721959388498944
陌生,90.131,1,25,16777215,2025-04-18 18:37:01,e1a54769,1827721838047511552
司马懿招笑大招,76.886,1,25,16777215,2025-04-18 18:36:38,5cd59fe7,1827721643389668352
司马懿：王者荣耀设计师!,70.2,5,25,15138834,2025-04-18 18:35:53,10c0eb87,1827721262211380992
没吃血包，不够完美,50.809,1,25,16777215,2025-04-18 18:35:45,249bd0e3,1827721196771821568
这不吃个血包？,48.562,5,25,14811775,2025-04-18 18:35:43,e3ad4550,1827721179096657920
听说来的早发什么都能火,0.491,5,25,16777215,2025-04-18 18:34:43,c456ce3b,1827720677097529088
终于把玩上了！,88.965,1,25,16777215,2025-04-19 10:30:47,cd1c4194,1828201879981723904
武器大师,142.571,1,25,16777215,2025-04-19 07:25:39,c407e446,1828108698636763648
铁跟以前就是玩老夫子的,66.351,1,25,16777215,2025-04-19 07:03:49,112f21eb,1828097712889894400
残血扔大能飞出去，卡时间有一段能飞时候,194.765,1,25,16777215,2025-04-19 06:57:29,39cfe446,1828094525311402496
不是？根er什么时候能大中人了？,64.521,5,25,15138834,2025-04-19 06:50:44,a7a83d48,1828091125114770688
把玩限时返场,88.802,5,25,15138834,2025-04-19 06:05:49,dfc99fa0,1828068515770012928
老夫子：没事我还有僵尸,48.108,1,25,16777215,2025-04-19 04:01:53,a930608,1828006141587212544
优先级最高的一技能,90.184,1,25,16777215,2025-04-19 02:56:11,3505f190,1827973077804307200
后仰跳投,71.689,5,25,41194,2025-04-19 02:38:42,901cee71,1827964271217088000
潮流仙人不是直售？,7.895,4,25,41194,2025-04-19 02:03:35,8cd5509f,1827946595698931456
展示容错,56.387,5,25,41194,2025-04-19 02:02:15,69e628b1,1827945930289401344
小亮皮肤,218.898,1,25,16777215,2025-04-19 01:32:32,dc6d559b,1827930974240563712
=、、、、、、,168.421,1,25,16777215,2025-04-19 01:23:45,f03c9cda,1827926547479755008
我是法师小兵，泉水有炮兵，你让我抗伤害？,148.672,1,25,16777215,2025-04-19 01:13:29,4595d953,1827921379879295232
盘古:你好,203.846,1,25,16777215,2025-04-19 00:59:15,9ee9affc,1827914220654714880
我要吃~~饭！,119.784,1,25,16777215,2025-04-19 00:26:15,38e4f03,1827897607645929984
你是否在寻找无敌鲨嘴炮,38.491,5,25,16777215,2025-04-19 00:19:53,16ded6c9,1827894407593072640
饭里下毒了,64.824,5,25,16776960,2025-04-19 00:02:24,9ea47f4b,1827885607481853952
《高原三饱》,217.409,1,25,16777215,2025-04-18 23:20:48,742e6c1b,1827864664492171776
老夫子一个大换一个龙人大我寻思也不亏，cd差挺多吧,200.979,1,25,16777215,2025-04-18 23:19:13,b3ae88d3,1827863872733256192
这集不对劲啊？？,134.14,5,25,15138834,2025-04-18 23:04:44,e327c449,1827856584467520256
哥们你头上是个小亮老师？？？,124.913,5,25,16707842,2025-04-18 22:54:26,e5e31331,1827851399703639552
一技能不会拉，拉出来死了,178.371,1,25,16777215,2025-04-18 22:42:34,f32b6c14,1827845425102243072
爷的青春回来了,108.251,1,25,16777215,2025-04-18 22:20:14,4dc7eb3f,1827834184501784320
陌生,113.856,1,25,16777215,2025-04-18 22:05:40,c7509518,1827826851063188736
我靠！楚哥！！,68.889,1,25,16777215,2025-04-18 21:59:48,fbad6d8a,1827823896150796800
铁哥是不是忘了自己也是玩项羽的？,92.32,1,25,16707842,2025-04-18 21:53:47,e9ae378e,1827820874138033408
盘古暗信亚连:？？？,204.803,1,25,16777215,2025-04-18 21:39:06,94efc4da,1827813477826822400
赖神顶号了,108.386,1,25,16777215,2025-04-18 21:38:03,872238eb,1827812951131385856
我能母鸭！,32.085,5,25,15138834,2025-04-18 21:33:08,a417fec2,1827810477196671744
铁根终于跟新老夫子视频了！！！,0.0,1,25,16777215,2025-04-18 21:25:33,e0c2316b,1827806664112465664
推荐闪现吃血宝,46.877,1,25,16777215,2025-04-18 21:16:06,48b8bd6e,1827801903828978688
我还以为要一闪,32.107,1,25,16777215,2025-04-18 21:05:00,da12d2c1,1827796317167251712
怎么是T7小曲,177.543,1,25,16777215,2025-04-18 20:55:47,e2f8c07,1827791680347788800
影：？？？,140.968,5,25,16707842,2025-04-18 20:26:31,284abb9e,1827776952837784832
这样送塔不会被清汤大老爷禁言吗,43.477,1,25,16777215,2025-04-18 20:25:47,dcd257aa,1827776583445166592
差的人头正好是铁根kd差,170.472,1,25,16777215,2025-04-18 20:20:28,54b0462d,1827773903981008384
一眨眼就是0-4了啊，很快啊,121.665,1,25,16777215,2025-04-18 20:14:08,a38bd888,1827770719103678976
赖神快把手机还给铁根,111.424,1,25,16777215,2025-04-18 20:13:41,ea3a7cb4,1827770489381125888
空屏占领大队开餐了,5.5,1,25,15138834,2025-04-18 20:09:59,bb786c4b,1827768628175860992
铁根不剪那些阵亡镜头，专门下毒是吧，淦,144.098,5,25,41194,2025-04-18 20:01:58,94c8d1bf,1827764593607985408
有对面小兵卡着 你刚才直接把对面小兵拉回去就好了,156.008,1,25,16777215,2025-04-18 19:52:12,49576f3f,1827759673462582272
陌生，铁根又拿别人素材,107.595,1,25,16777215,2025-04-18 19:45:27,17a83b22,1827756274961037056
热成像の小曲,170.381,1,25,16777215,2025-04-18 19:36:52,86da059d,1827751954852720640
51分钟前,222.577,1,25,16777215,2025-04-18 19:25:27,1819fd25,1827746209973462528
这不算故意送塔，我不理解,40.974,1,25,16777215,2025-04-18 19:04:59,85801433,1827735908343211264
这就是夫赖,120.12,1,25,16777215,2025-04-18 19:03:19,53a02ff3,1827735069859755520
匹配，肯定是匹配,98.011,1,25,16777215,2025-04-18 19:01:30,5a4490c2,1827734154956291328
pgone来了,72.197,1,25,16777215,2025-04-18 19:00:31,4f4af20a,1827733660901271808
我去，这名字,62.622,1,25,16777215,2025-04-18 18:59:46,90f7c583,1827733289629409280
圣诞礼包～,19.748,5,25,16777215,2025-04-18 18:58:39,4f41263c,1827732720437073664
